CNPJ;MUNICIPIO;UF;UNIDADE;SUCURSAL;UNIDADEECAD
84306737000127;ACRELANDIA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04045993000179;ASSIS BRASIL;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04508933000145;BRASILEIA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306620000143;BUJARI;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306604000150;CAPIXABA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04012548000102;CRUZEIRO DO SUL;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306588000104;EPITACIOLANDIA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04005179000120;FEIJO;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306497000160;JORDAO;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04059671000189;MANCIO LIMA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04051207000146;MANOEL URBANO;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306463000176;MARECHAL THAUMATURGO;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04076733000160;PLACIDO DE CASTRO;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306661000130;PORTO ACRE;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
63603625000168;PORTO WALTER;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04034583000122;RIO BRANCO;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306455000120;RODRIGUES ALVES;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
84306521000161;SANTA ROSA DO PURUS;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04513362000137;SENA MADUREIRA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04077251000125;SENADOR GUIOMARD;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
34693564000179;TARAUACA;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04018560000124;XAPURI;AC;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
12350153000148;AGUA BRANCA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12250163000101;BELO MONTE;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12367892000142;CANAPI;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12250684000169;CARNEIROS;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12224895000127;DELMIRO GOUVEIA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12226197000160;INHAPI;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12251286000167;MARAVILHA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12226205000179;MATA GRANDE;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12350146000146;OLHO D'AGUA DO CASADO;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12258141000198;OURO BRANCO;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12369872000100;PALESTINA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12369880000157;PAO DE ACUCAR;AL;PERNAMBUCO;SUPE;PERNAMBUCO
35634435000172;PARICONHA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12225546000120;PIRANHAS;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12259040000131;POCO DAS TRINCHEIRAS;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12250916000189;SANTANA DO IPANEMA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12261228000114;SAO JOSE DA TAPERA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
12421137000107;SENADOR RUI PALMEIRA;AL;PERNAMBUCO;SUPE;PERNAMBUCO
04628335000100;ALVARAES;AM;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04628723000190;AMATURA;AM;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04628020000162;ANAMA;AM;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
04262762000117;ANORI;AM;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
22812960000199;APUI;AM;DISTRITO FEDERAL;SUDF;DISTRITO FEDERAL
