"UF","MUNICÍPIO","UNIDADE","SUCURSAL"
"AC","ACRELANDIA","DISTRITO FEDERAL","SUDF"
"AC","ASSIS BRASIL","DISTRITO FEDERAL","SUDF"
"AC","BRASILEIA","DISTRITO FEDERAL","SUDF"
"AC","BUJARI","DISTRITO FEDERAL","SUDF"
"AC","CAPIXABA","DISTRITO FEDERAL","SUDF"
"AC","CRUZEIRO DO SUL","DISTRITO FEDERAL","SUDF"
"AC","EPITACIOLANDIA","DISTRITO FEDERAL","SUDF"
"AC","FEIJO","DISTRITO FEDERAL","SUDF"
"AC","JORDAO","DISTRITO FEDERAL","SUDF"
"AC","MANCIO LIMA","DISTRITO FEDERAL","SUDF"
"AC","MANOEL URBANO","DISTRITO FEDERAL","SUDF"
"AC","MARECHAL THAUMATURGO","DISTRITO FEDERAL","SUDF"
"AC","PLACIDO DE CASTRO","DISTRITO FEDERAL","SUDF"
"AC","PORTO ACRE","DISTRITO FEDERAL","SUDF"
"AC","PORTO WALTER","DISTRITO FEDERAL","SUDF"
"AC","RIO BRANCO","DISTRITO FEDERAL","SUDF"
"AC","RODRIGUES ALVES","DISTRITO FEDERAL","SUDF"
"AC","SANTA ROSA DO PURUS","DISTRITO FEDERAL","SUDF"
"AC","SENA MADUREIRA","DISTRITO FEDERAL","SUDF"
"AC","SENADOR GUIOMARD","DISTRITO FEDERAL","SUDF"
"AC","TARAUACA","DISTRITO FEDERAL","SUDF"
"AC","XAPURI","DISTRITO FEDERAL","SUDF"
"AL","AGUA BRANCA","PERNAMBUCO","SUPE"
"AL","BELO MONTE","PERNAMBUCO","SUPE"
"AL","CANAPI","PERNAMBUCO","SUPE"
"AL","CARNEIROS","PERNAMBUCO","SUPE"
"AL","DELMIRO GOUVEIA","PERNAMBUCO","SUPE"
"AL","INHAPI","PERNAMBUCO","SUPE"
"AL","MARAVILHA","PERNAMBUCO","SUPE"
"AL","MATA GRANDE","PERNAMBUCO","SUPE"
"AL","OLHO D'AGUA DO CASADO","PERNAMBUCO","SUPE"
"AL","OURO BRANCO","PERNAMBUCO","SUPE"
"AL","PALESTINA","PERNAMBUCO","SUPE"
"AL","PAO DE ACUCAR","PERNAMBUCO","SUPE"
"AL","PARICONHA","PERNAMBUCO","SUPE"
"AL","PIRANHAS","PERNAMBUCO","SUPE"
"AL","POCO DAS TRINCHEIRAS","PERNAMBUCO","SUPE"
"AL","SANTANA DO IPANEMA","PERNAMBUCO","SUPE"
"AL","SAO JOSE DA TAPERA","PERNAMBUCO","SUPE"
"AL","SENADOR RUI PALMEIRA","PERNAMBUCO","SUPE"
"AM","ALVARAES","DISTRITO FEDERAL","SUDF"
"AM","AMATURA","DISTRITO FEDERAL","SUDF"
"AM","ANAMA","DISTRITO FEDERAL","SUDF"
"AM","ANORI","DISTRITO FEDERAL","SUDF"
"AM","APUI","DISTRITO FEDERAL","SUDF"
"AM","ATALAIA DO NORTE","DISTRITO FEDERAL","SUDF"
"AM","AUTAZES","DISTRITO FEDERAL","SUDF"
"AM","BARCELOS","DISTRITO FEDERAL","SUDF"
"AM","BARREIRINHA","DISTRITO FEDERAL","SUDF"
"AM","BENJAMIN CONSTANT","DISTRITO FEDERAL","SUDF"
"AM","BERURI","DISTRITO FEDERAL","SUDF"
"AM","BOA VISTA DO RAMOS","DISTRITO FEDERAL","SUDF"
"AM","BOCA DO ACRE","DISTRITO FEDERAL","SUDF"
"AM","BORBA","DISTRITO FEDERAL","SUDF"
"AM","CAAPIRANGA","DISTRITO FEDERAL","SUDF"
"AM","CANUTAMA","DISTRITO FEDERAL","SUDF"
"AM","CARAUARI","DISTRITO FEDERAL","SUDF"
"AM","CAREIRO","DISTRITO FEDERAL","SUDF"
"AM","CAREIRO DA VARZEA","DISTRITO FEDERAL","SUDF"
"AM","COARI","DISTRITO FEDERAL","SUDF"
"AM","CODAJAS","DISTRITO FEDERAL","SUDF"
"AM","EIRUNEPE","DISTRITO FEDERAL","SUDF"
"AM","ENVIRA","DISTRITO FEDERAL","SUDF"
"AM","FONTE BOA","DISTRITO FEDERAL","SUDF"
"AM","GUAJARA","DISTRITO FEDERAL","SUDF"
"AM","HUMAITA","DISTRITO FEDERAL","SUDF"
